Category,Title,Price,Location,Area,URL
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463354 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463354/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463353 | Graana.com",1.48 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463353/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463351 | Graana.com",66 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463351/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463350 | Graana.com",1.48 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463350/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463349 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463349/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463347 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463347/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463346 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463346/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463344 | Graana.com",68 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463344/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463342 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463342/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463341 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463341/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463339 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463339/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463337 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463337/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463336 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463336/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463334 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463334/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463333 | Graana.com",68 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463333/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463332 | Graana.com",68 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463332/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463330 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463330/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463329 | Graana.com",1.47 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463329/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463327 | Graana.com",64 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463327/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463326 | Graana.com",1.43 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463326/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463323 | Graana.com",62 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463323/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463320 | Graana.com",1.44 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463320/
Plots for Sale,"5 Marla Residential Plot for sale in Al Rehman Garden Phase 2, Lahore | 1463318 | Graana.com",70 Lac,"Al Rehman Garden Phase 2, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-al-rehman-garden-phase-2-lahore-1463318/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Town Phase 9, Lahore | 1463317 | Graana.com",1.45 Crore,"DHA Town Phase 9, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-town-phase-9-lahore-1463317/
