ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
TANDLIAN WALA MC,FAISALABAD DISTRICT,49680,25618,24056,6,6.54
SILLANWALI MC,SARGODHA DISTRICT,49311,24797,24507,7,6.95
TUMP MC,KECH DISTRICT,49269,27158,22109,2,3.12
KUNDIAN MC,MIANWALI DISTRICT,48658,24899,23757,2,5.83
NUSHKI MC,NUSHKI DISTRICT,48572,25470,23101,1,6.69
KHADIAN MC,KASUR DISTRICT,48519,24385,24127,7,6.24
NAL MC,KHUZDAR DISTRICT,48481,26917,21563,1,7.86
SHARAK PUR MC,SHEIKHUPURA DISTRICT,48019,23672,24343,4,6.14
TIMARGARA MC,LOWER DIR DISTRICT,47860,24419,23440,1,7.88
DIR TC,UPPER DIR DISTRICT,47842,24307,23534,1,7.24
KARACHI SOUTH,DISTRICT,47759,26582,21168,9,5.95
TOBA TEK SINGH,DISTRICT,47376,24477,22859,40,6.07
KHAIRPUR TAMEWALI MC,BAHAWALPUR DISTRICT,47284,23782,23497,5,5.94
SHORKOT MC,JHANG DISTRICT,47248,24110,23094,44,6.11
CHITKAN MUNICIPAL CORPORATION,PANJGUR DISTRICT,47034,23951,23077,6,8.36
KHANOZAI MC,PISHIN DISTRICT,46682,23597,23084,1,6.74
SARANAN MC,PISHIN DISTRICT,46512,23428,23083,1,5.68
BHIT SHAH TC,MATIARI DISTRICT,45345,22706,22637,2,6.13
HADALI MC,KHUSHAB DISTRICT,45302,23056,22242,4,6.23
MACH MC,KACHHI DISTRICT,44542,23584,20952,6,19.20
KHARIAN MC,GUJRAT DISTRICT,44513,22147,22334,32,6.32
KALAT MC,KALAT DISTRICT,44440,22965,21474,1,8.55
JALALPUR BHATTIAN MC,HAFIZABAD DISTRICT,44421,22722,21693,6,6.84
NAUSHAHRO FEROZE,DISTRICT,44382,22225,22152,5,5.86
HAZRO MC,ATTOCK DISTRICT,44242,22296,21942,4,6.66
BADAH TC,LARKANA DISTRICT,43756,22516,21239,1,5.80
HANGU MC,HANGU DISTRICT,43642,21980,21661,1,7.74
KARACHI SOUTH,DISTRICT,43507,23562,19941,4,4.81
PASNI MC,GWADAR DISTRICT,43494,22805,20684,5,5.94
BHAN TC,JAMSHORO DISTRICT,43108,22055,21050,3,5.43
GARH MAHARAJA MC,JHANG DISTRICT,42401,21953,20436,12,5.65
SHAHPUR CHAKAR TC,SANGHAR DISTRICT,42365,21555,20809,1,5.99
AMANGARH TC,NOWSHERA DISTRICT,42159,21482,20676,1,6.65
DERA ISMAIL KHAN,DISTRICT,42005,21926,20078,1,6.41
JATIA TC,SANGHAR DISTRICT,41993,21367,20625,1,6.10
DIGRI TC,MIRPUR KHAS DISTRICT,41774,22060,19710,4,6.70
TANDO MUHAMMAD,KHAN DISTRICT,41277,21576,19700,1,5.45
TANDO JAN MUHAMMAD TC,MIRPUR KHAS DISTRICT,41188,21521,19664,3,5.81
CHOA SAIDAN SHAH MC,CHAKWAL DISTRICT,41074,20773,20285,16,6.73
BANNU MC,BANNU DISTRICT,41015,22174,18834,7,6.95
MIANI TC,SARGODHA DISTRICT,40781,20404,20376,1,6.02
NAWAN SHEHR TC,ABBOTTABAD DISTRICT,40711,20177,20533,1,6.12
DAJAL TC,RAJANPUR DISTRICT,40666,20058,20607,1,6.43
MUZAFFARGARH,DISTRICT,40593,20271,20321,1,5.77
CHOWNDIKO TC,KHAIRPUR DISTRICT,40305,20502,19801,2,5.15
MAMU KANJAN MC,FAISALABAD DISTRICT,40249,20913,19329,7,6.33
GHARO TC,THATTA DISTRICT,40220,20342,19876,2,5.94
JOHI TC,DADU DISTRICT,40086,20341,19743,2,5.53
SADDA TC,KURRAM DISTRICT,39888,21193,18694,1,10.12
BHAWANA MC,CHINIOT DISTRICT,39270,19699,19561,10,6.44
HYDERABAD CANTONMENT (Part of Latifabad Taluka),HYDERABAD DISTRICT,39190,20862,18323,5,5.80
BAHAWALNAGAR,DISTRICT,39150,20294,18849,7,6.28
SUJAWAL TC,SUJAWAL DISTRICT,38736,19782,18949,5,5.69
FAQIRABAD TC,KHAIRPUR DISTRICT,38630,19717,18900,13,5.92
KANGANPUR MC,KASUR DISTRICT,38568,20069,18491,8,6.53
KAMEER TC,SAHIWAL DISTRICT,38394,19507,18874,13,6.67
PACCA CHANG TC,KHAIRPUR DISTRICT,38385,19436,18947,2,5.15
KAROR LAL ESAN MC,LAYYAH DISTRICT,38375,19496,18864,15,6.00
KAMBAR SHAHDAD KOT,DISTRICT,38105,20135,17967,3,5.81
AHMADPUR SIAL MC,JHANG DISTRICT,37801,19208,18590,3,6.14
MUZAFFARGARH,DISTRICT,37644,18569,19074,1,6.16
SOHAWA MC,JHELUM DISTRICT,37488,18629,18855,4,6.01
JHUDO TC,MIRPUR KHAS DISTRICT,37379,19870,17508,1,6.09
UTHAL MC,LASBELA DISTRICT,37071,19480,17590,1,6.37
KOTLI LOHARAN TC,SIALKOT DISTRICT,37063,18482,18580,1,6.61
TANDO GHULAM ALI TC,BADIN DISTRICT,36961,19239,17720,2,4.95
FAROOKA TC,SARGODHA DISTRICT,36704,18392,18309,3,6.52
SHAHEED,BENAZIRABAD DISTRICT,36588,18290,18292,6,6.27
KHEWRA MC,JHELUM DISTRICT,36552,18586,17960,6,5.59
KOT DIJI TC,KHAIRPUR DISTRICT,36418,18961,17450,7,5.78
RAHIM YAR KHAN,DISTRICT,36223,18681,17512,30,6.52
RISALPUR CANTONMENT,NOWSHERA DISTRICT,36074,20535,15536,3,6.42
SHAHEED,BENAZIRABAD DISTRICT,35662,18460,17201,1,6.02
TANDO ALLAHYAR,DISTRICT,35397,17920,17474,3,4.85
KILLA ABDULLAH,DISTRICT,35384,19725,15657,2,5.55
SHAHEED FAZAL RAHU TC,BADIN DISTRICT,35313,18395,16917,1,5.55
LIAQATABAD MC,MIANWALI DISTRICT,35297,18441,16845,11,5.89
WINDER MC,LASBELA DISTRICT,35245,17812,17432,1,4.81
TULAMBA TC,KHANEWAL DISTRICT,35069,18158,16910,1,6.14
NANKANA SAHIB,DISTRICT,35053,18023,17026,4,6.27
KHANQAH DOGRAN MC,SHEIKHUPURA DISTRICT,34949,17540,17407,2,6.82
SOBHO DERO TC,KHAIRPUR DISTRICT,34812,17524,17287,1,6.27
NOWSHERA CANTONMENT,NOWSHERA DISTRICT,34481,20382,14076,23,8.03
RANIPUR TC,KHAIRPUR DISTRICT,34337,17299,17035,3,6.34
KALUR KOT MC,BHAKKAR DISTRICT,34319,17810,16508,1,7.27
LAKHI TC,SHIKARPUR DISTRICT,33588,15911,17673,4,8.15
SHADIWAL TC,GUJRAT DISTRICT,33437,16785,16650,2,6.59
MITHA TAWANA MC,KHUSHAB DISTRICT,32870,16721,16143,6,5.78
SITA ROAD TC,DADU DISTRICT,32760,16608,16147,5,5.33
SETHARJA TC,KHAIRPUR DISTRICT,32741,16640,16100,1,5.82
RADHAN TC,DADU DISTRICT,32721,16372,16344,5,5.27
KHANGARH TC,GHOTKI DISTRICT,32648,16754,15893,1,5.08
MUZAFFARGARH,DISTRICT,32161,16360,15799,2,6.67
HINGORJA TC,KHAIRPUR DISTRICT,32159,16324,15832,3,6.26
NAUSHAHRO FEROZE,DISTRICT,31936,16439,15495,2,5.46
KOHAT CANTONMENT,KOHAT DISTRICT,31051,16199,14848,4,5.98
FAISAL CANTONMENT (Part of Airport Sub-Division),MALIR DISTRICT,30981,15760,15218,3,6.05
TALL MC,HANGU DISTRICT,30977,15799,15177,1,8.11
JAMKE CHEEMA TC,SIALKOT DISTRICT,30698,15403,15293,2,6.39
KAMBAR SHAHDAD KOT,DISTRICT,30646,15832,14812,2,5.22
NAUSHAHRO FEROZE,DISTRICT,30527,15418,15108,1,5.32
